distance,decoder_name,physical_error_rate,shots,seed,logical_error_rate,logical_error_rate_stderr,failure_count
3,pymatching,0.0025,10000,20260424,0.0248,0.001555151439571079,248
3,pymatching,0.0035,10000,20260425,0.0434,0.002037558342722976,434
3,pymatching,0.0042,10000,20260426,0.0605,0.0023841088481862567,605
3,pymatching,0.005,10000,20260427,0.0803,0.0027175707902463184,803
3,pymatching,0.006,10000,20260428,0.1141,0.003179326815538157,1141
5,pymatching,0.0025,10000,20260429,0.0148,0.0012075164595151489,148
5,pymatching,0.0035,10000,20260430,0.039,0.0019359493795035035,390
5,pymatching,0.0042,10000,20260431,0.0612,0.002396968084893914,612
5,pymatching,0.005,10000,20260432,0.0981,0.002974498108925269,981
5,pymatching,0.006,10000,20260433,0.1295,0.0033575251302112395,1295
7,pymatching,0.0025,10000,20260434,0.0095,0.0009700386590234432,95
7,pymatching,0.0035,10000,20260435,0.0297,0.0016975838712711664,297
7,pymatching,0.0042,10000,20260436,0.0555,0.002289535979188796,555
7,pymatching,0.005,10000,20260437,0.0969,0.0029582155093907546,969
7,pymatching,0.006,10000,20260438,0.1637,0.003700031216084535,1637
